symbol,rmse_original,rmse_scaled,spearman_corr,avg_confidence,avg_target,n_observations,n_unique_preds
BHP,0.00016855476066515802,0.00017004024484562884,0.6048445764969257,133.2321012497372,0.00034750400814911983,5627.0,1059.0
BIDU,0.00020872174161407428,0.00021444089160248435,0.7281361421434084,49.01268447354426,0.0005234149601850108,6164.0,1536.0
BIIB,0.0003107251578185487,0.00031360031007575737,0.5042791037075878,21.806357589998825,0.0004803907988510677,5864.0,1306.0
BIL,2.8619443516907846e-05,3.080370740534351e-05,-0.014118559026175597,128.22745159838087,2.515613813412322e-07,2082.0,208.0
BILI,0.00040708346973745535,0.0004213628084538419,0.7599870902372081,5.791509438800202,0.0009355271003979559,6073.0,1698.0
BILL,0.0010992149946290916,0.0010963670554721486,0.5986703501160828,4.538542898691791,0.0008819559156252069,2963.0,963.0
BIRK,0.0006430407044908154,0.0006454131620176961,0.3579524511153739,3.7530184645289766,0.0008447657769794472,532.0,237.0
BITB,0.00037844346826489193,0.00038184797533418396,0.5530548250857917,5.628054033977219,0.0009021825893545206,3319.0,1052.0
BITF,0.001077979175175135,0.0010971238189868386,0.48268839692349397,0.3260845207446543,0.002111642921153528,727.0,327.0
BITO,0.00032300967495680575,0.0003281370812218316,0.6134690374787746,5.342489254496775,0.0009375677181685248,5924.0,1355.0
BITU,0.0007382703452493371,0.0007329322393697438,0.6208478593189296,1.189352518650633,0.002060889353231372,1726.0,641.0
BITX,0.0006922717476877388,0.0006899637105638874,0.6119236136570503,1.3975404725247786,0.001885899386769999,3639.0,1052.0
BJ,0.0008930095217650333,0.0008900295863627034,0.4948037192628028,17.613426419722565,0.0005682038847800254,2078.0,728.0
BK,0.0005086483147292093,0.0005071145899575651,0.6451815006481532,101.2845687548005,0.00043731749204827506,6236.0,1260.0
BKLN,0.0011843072041128528,0.0011839867069416822,0.10784586228633145,71.29852984729825,0.0001136763311967378,386.0,101.0
BKNG,0.00020531531946597003,0.00020525081444278928,0.5308335601084759,16.318380311342448,0.00042845181751527406,5368.0,1185.0
BKR,0.00023012504165920101,0.00023224052419952074,0.594242099597563,29.748463711691556,0.0005735395962088769,6286.0,1384.0
BL,0.0007536361619606433,0.0007540593080347432,0.37368313491931593,6.185861261139986,0.0005581093714456985,1034.0,420.0
BLBD,0.0005419355350100555,0.0005534690858584547,0.2878037003343907,1.976493105135466,0.0009816854410633156,95.0,44.0
BLD,0.002238146346354472,0.0022351397864680557,0.4670780231747421,3.642928812899171,0.0008101358691708601,3463.0,1043.0
BLDR,0.0003492026494122267,0.00035621508623078304,0.575756771425366,5.7876192128056445,0.0006858607502925208,5645.0,1414.0
BLK,0.0003002669501059861,0.00029964632764305563,0.5700737702420106,33.97452437154068,0.0003943433637997693,5552.0,1216.0
BMRN,0.0003375536248835002,0.0003421526675882705,0.5420245185635113,16.988510215580998,0.0005767259037004937,5639.0,1337.0
BMY,0.0002443745568686566,0.0002446514865582521,0.6179921561775162,64.39406191733595,0.000507890948934069,6284.0,1408.0
BN,0.0008092585363861318,0.0008066247293613603,0.5705264602106425,23.240526936018064,0.0005772720231660227,857.0,377.0
BND,4.766246197993824e-05,4.719345317880622e-05,0.5103597962830758,249.17374956296115,9.204188874830662e-05,5163.0,284.0
BNDX,0.0002843368987694816,0.0002843006487752225,0.38372169268977485,189.70223273374128,5.7121693431355526e-05,3161.0,201.0
BNTX,0.00048411609716272273,0.0004907683734704533,0.6064131988109044,2.6712380998388547,0.0009395355578425981,4549.0,1383.0
BOIL,0.0008896985829213094,0.0008873333251471572,0.553975983573699,1.1845457783661855,0.0018994153173350688,2153.0,763.0
BOOT,0.0006566234473921968,0.0006608376695683108,0.4473750371882147,3.0224372192252456,0.0009007986700787157,695.0,308.0
BOX,0.001014653350108009,0.0010122441465303805,0.5629097011504041,10.937395703932818,0.0006516771658004543,425.0,196.0
